ISBN,Título,Precio,Autores,Colecciones,Editoriales,Series,Fecha de venta,Formato,Páginas,Nombre Imagen
9788467937558,HARRY POTTER: EL POP-UP DE LA NAVIDAD EN HOGWARTS ,39.95,Jody Revenson,LIBROS ILUSTRADOS,NORMA Editorial,HARRY POTTER: EL POP-UP DE LA NAVIDAD EN HOGWARTS,31/10/2019,Cartoné,96,harry_pop-up.jpg
9788467938197,CORTO MALTES: EL DIA DE TAROWEAN,19.95,"Juan Díaz Canales, Rubén Pellejero",CÓMIC EUROPEO,NORMA Editorial,CORTO MALTES: EL DIA DE TAROWEAN,31/10/2019,Cartoné,88,cast_corto_maltes.jpg
9788467938227,LA MAZMORRA 01 (Edicion integral),35.0,"Boulet, Joann Sfar, Lewis Trondheim",CÓMIC EUROPEO,NORMA Editorial,LA MAZMORRA (Edicion integral),31/10/2019,Cartoné con sobrecubierta,316,mazmorra.jpg
9788467938487,BUG 02,21.0,Enki Bilal,CÓMIC EUROPEO,NORMA Editorial,BUG,31/10/2019,Cartoné,80,bug_2.jpg
9788467939606,LOS VIEJOS HORNOS 05: CAMINO DEL ASILO,18.0,"Cauuet, Wilfried Lupano",CÓMIC EUROPEO,NORMA Editorial,LOS VIEJOS HORNOS,31/10/2019,Cartoné,56,viejos_hornos.jpg
9788467939439,THERE'S NOTHING THERE (NO HAY NADA AHI),19.0,"María Llovet, Patrick Kindlon",CÓMIC USA,NORMA Editorial,THERE'S NOTHING THERE,31/10/2019,Cartoné,144,nada_alli.jpg
9788467938661,ESTE DEL OESTE 09,17.0,"Frank Martin, Jonathan Hickman, Nick Dragotta",CÓMIC USA,NORMA Editorial,ESTE DEL OESTE,31/10/2019,Rústica,136,este_oeste_9.jpg
9788467939019,LAS SUPERNENAS: LA SERIE CLASICA 02. PODER MAXIMO,16.5,Varios autores,CÓMIC USA,NORMA Editorial,LAS SUPERNENAS: LA SERIE CLASICA,31/10/2019,Cartoné,140,supernenas_2_1.jpg
9788467938678,THE UMBRELLA ACADEMY 01: SUITE APOCALIPTICA (Edicion rustica),19.0,"Gabriel Bá, Gerard Way",CÓMIC USA,NORMA Editorial,UMBRELLA ACADEMY,31/10/2019,Rústica,184,umbrella_1.jpg
9788418043253,PACK KAKEGURUI 07 Y KAKEGURUI TWIN 07,18.9,"Homura Kawamoto, Kei Saiki, Toru Naomura",CÓMIC MANGA,ECC Ediciones,PACK KAKEGURUI Y KAKEGURUI TWIN,29/10/2019,Rústica con sobrecubierta,,pack_kakegurui_5.jpg
9788418026867,FLASH 50 / 36,3.5,"Joshua Williamson, Scott Kolins",UNIVERSO DC,ECC Ediciones,FLASH (Serie mensual),29/10/2019,Grapa,48,flash_36.jpg
9788418043048,BILLY BATSON Y LA MAGIA DE !SHAZAM! 09 (Kodomo),3.5,"Art Baltazar, Franco",UNIVERSO DC,ECC Ediciones,BILLY BATSON Y LA MAGIA DE !SHAZAM!,29/10/2019,Grapa,48,batson_shazam_9.jpg
9788418043086,DIARIO DE GUERRA: SAGA OF TANYA THE EVIL 06,7.95,Chika Toujyou,CÓMIC MANGA,ECC Ediciones,DIARIO DE GUERRA,29/10/2019,Rústica con sobrecubierta,160,diario_guerra_6.jpg
9788418043031,UNIVERSO SANDMAN,10.95,"Dan Watters, Kat Howard, Nalo Hopkinson, Neil Gaiman, Sebastian Fiumara, Varios autores",CÓMIC USA,ECC Ediciones,UNIVERSO SANDMAN,29/10/2019,Cartoné,56,univ_sandman.jpg
9788418043055,TEEN TITANS GO!: VIAJE POR CARRETERA,5.95,"Brandon T. Snider, Jonathan Evans","KODOMO, UNIVERSO DC",ECC Ediciones,TEEN TITANS GO!: VIAJE POR CARRETERA,29/10/2019,Grapa,32,teen_titans_viaje_carretera.jpg
9788418043017,PIERRE NODOYUNA Y PATAN,16.95,"Garth Ennis, Mauricet",CÓMIC USA,ECC Ediciones,PIERRE NODOYUNA Y PATAN,29/10/2019,Cartoné,160,pierre_patan.jpg
9788418043208, BATMAN: CIUDAD OSCURA (Batman saga),27.0,"Greg Capullo, Scott Snyder",UNIVERSO DC,ECC Ediciones,BATMAN: CIUDAD OSCURA (Batman saga),29/10/2019,Cartoné,256,batman_ciudad_oscura.jpg
9788491735571,STAR WARS: DARTH VADER LORD OSCURO 17,2.5,"Charles Soule, Giuseppe Camuncoli",UNIVERSO STAR WARS,Planeta Cómic,STAR WARS: DARTH VADER LORD OSCURO,29/10/2019,Grapa,32,sw_lord_17.jpg
9788491735380,PAPER GIRLS TOMO 04 (de 6),16.95,"Brian K. Vaughan, Cliff Chiang",CÓMIC USA,Planeta Cómic,PAPER GIRLS (EDICION EN TOMO),29/10/2019,Cartoné,136,paper_girls_tomo.jpg
9788491730071,SPAWN: SATAN SAGA WARS,16.95,"Erik Larsen, Todd McFarlane",CÓMIC USA,Planeta Cómic,SPAWN: SATAN SAGA WARS,29/10/2019,Rústica,160,spawn_satan.jpg
9788491737391,A WALK THROUGH HELL 01,14.95,"Garth Ennis, Goran Sudzuka",CÓMIC USA,Planeta Cómic,A WALK THROUGH HELL,29/10/2019,Cartoné,136,walk_through_hell.jpg
9788491737216,LAS PEQUENAS DISTANCIAS,22.0,"Camille Benyamina, Vero Cazot",CÓMIC EUROPEO,Planeta Cómic,LAS PEQUENAS DISTANCIAS,29/10/2019,Cartoné,160,peque_as_distancias.jpg
9788416188871,PAJARO QUE TRINA NO VUELA 06,8.0,Kou Yoneda,CÓMIC MANGA,Tomodomo,PAJARO QUE TRINA NO VUELA,29/10/2019,Rústica con sobrecubierta,224,pajaro-trina_6.jpg
9788417960209,KAKEGURUI 07,9.95,"Homura Kawamoto, Toru Naomura",CÓMIC MANGA,ECC Ediciones,KAKEGURUI,29/10/2019,Rústica,192,kakegurui_7.jpg
9788418026980,EL GREEN LANTERN 89 / 07,2.25,"Grant Morrison, Liam Sharp",UNIVERSO DC,ECC Ediciones,GREEN LANTERN (Serie mensual),29/10/2019,Grapa,24,green_lantern_7.jpg
9788418043093,DOROHEDORO 11,9.95,Q Hayashida,CÓMIC MANGA,ECC Ediciones,DOROHEDORO,29/10/2019,Rústica con sobrecubierta,178,dorohedoro_11.jpg
9788418043062,HELLSTAR REMINA (Nueva edicion),19.95,Junji Ito,CÓMIC MANGA,ECC Ediciones,HELLSTAR REMINA,29/10/2019,Rústica con sobrecubierta,296,hellstar.jpg
9788418026997,BATMAN DETECTIVE COMICS: ROSTROS SOMBRIOS,36.0,"Eduardo Pansica, James Tynion IV, Júlio Ferreira, Pere Pérez, Tony S. Daniel, Varios autores",UNIVERSO DC,ECC Ediciones,"BATMAN DETECTIVE COMICS, DE JAMES TYNION IV",29/10/2019,Cartoné,368,batman_detective_rostros_so.jpg
9788418043000,DEATHSTROKE: ARKHAM (Primera temporada),24.95,"Adam Glass, Bernard Chang, Carlo Pagulayan, Christopher Priest, Ed Benes, Fernando Pasarín",UNIVERSO DC,ECC Ediciones,DEATHSTROKE: PRIMERA TEMPORADA,29/10/2019,Rústica,264,deathstroke.jpg
788418043024,SUPERMAN Y BATMAN: GENERACIONES (Edicion integral),52.5,John Byrne,UNIVERSO DC,ECC Ediciones,SUPERMAN Y BATMAN: GENERACIONES (Edicion integral),29/10/2019,Cartoné,672,sup_bat_generaciones.jpg
9788491735656,STAR WARS 52,2.5,"Kieron Gillen, Salvador Larroca",UNIVERSO STAR WARS,Planeta Cómic,STAR WARS (Serie mensual),29/10/2019,Grapa,32,sw_52.jpg
9788491738770,STAR WARS: DARTH VADER LORD OSCURO 01 (Edicion en tomo),14.95,"Charles Soule, DAVID CURIEL, Giuseppe Camuncoli",UNIVERSO STAR WARS,Planeta Cómic,STAR WARS: DARTH VADER LORD OSCURO (Edicion en tomo),29/10/2019,Cartoné,152,sw_lord_tomo.jpg
9788491468646,PAPER GIRLS 23,2.5,"Brian K. Vaughan, Cliff Chiang",CÓMIC USA,Planeta Cómic,PAPER GIRLS,29/10/2019,Grapa,32,paper_girls_23.jpg
9788491460770,EL GRAN MUERTO 02 (de 03),22.0,"JB Djian, Mallié, Régis Loisel",CÓMIC EUROPEO,Planeta Cómic,EL GRAN MUERTO,29/10/2019,Cartoné,176,gran_muerto.jpg
9788491736875,MICKEY A LO LARGO DE LOS SIGLOS,30.0,Varios autores,CÓMIC USA,Planeta Cómic,MICKEY A LO LARGO DE LOS SIGLOS,29/10/2019,Cartoné,56,mickey_siglos.jpg
9788491532309,LAS CRONICAS DE CONAN 33 (de 34): LA MONTANA EN LA QUE HABITA CROM Y OTRAS HISTORIAS,25.0,"Gary Hartle, Mike Docherty, Roy Thomas",UNIVERSO CONAN,Planeta Cómic,LAS CRONICAS DE CONAN,29/10/2019,Cartoné,232,cronicas_conan_33.jpg
9788416188864,MERRY CHECKER,8.0,Tsuta Suzuki,CÓMIC MANGA,Tomodomo,MERRY CHECKER,29/10/2019,Rústica con sobrecubierta,176,merry_checker.jpg
9788491740469,THE LEAGUE OF EXTRAORDINARY GENTLEMEN NEMO: CORAZON DE HIELO,8.95,"Alan Moore, Kevin O´Neill",CÓMIC USA,Planeta Cómic,THE LEAGUE OF EXTRAORDINARY GENTLEMEN,29/10/2019,Cartoné,56,nemo_corazon.jpg
9788417820626,ATELIER OF WITCH HAT 05,8.5,Kamome Shirahama,CÓMIC MANGA,Milky Way Ediciones,ATELIER OF WITCH HAT,25/10/2019,Cartoné con sobrecubierta,192,atelier_of_witch_hat_5.jpg
